Rank,NOC,Gold,Silver,Bronze,Total,Year,Total_Athletes_in_Team,Gold_Winning_Athletes,Silver_Winning_Athletes,Bronze_Winning_Athletes,Athletes_Who_Returned,Multi_Event_Athletes,Average Team Rating
31,UKR,2,5,4,11,2016,204.0,1.0,5.0,5.0,108.0,91.0,4.7067548224437115
32,SRB,2,4,2,8,2016,103.0,14.0,27.0,13.0,51.0,33.0,5.789995525101532
33,POL,2,3,6,11,2016,234.0,3.0,3.0,10.0,131.0,91.0,4.575649864283039
34,PRK,2,3,2,7,2016,30.0,2.0,3.0,1.0,15.0,10.0,4.912181531720631
35,BEL,2,2,2,6,2016,104.0,2.0,17.0,2.0,57.0,45.0,4.826572598775981
35,THA,2,2,2,6,2016,54.0,2.0,2.0,2.0,25.0,20.0,4.3919678625627165
37,SVK,2,2,0,4,2016,51.0,3.0,3.0,0.0,27.0,17.0,4.966360004496962
38,GEO,2,1,4,7,2016,40.0,2.0,1.0,4.0,21.0,17.0,4.950557949937199
39,AZE,1,7,10,18,2016,56.0,1.0,7.0,10.0,28.0,14.0,5.1808164592366035
40,BLR,1,4,4,9,2016,120.0,1.0,4.0,5.0,55.0,32.0,4.70111123152951
41,TUR,1,3,4,8,2016,100.0,1.0,3.0,4.0,45.0,23.0,3.960446359949759
42,ARM,1,3,0,4,2016,31.0,1.0,3.0,0.0,10.0,8.0,4.159508555086018
44,ETH,1,2,5,8,2016,37.0,0.0,2.0,5.0,15.0,6.0,4.4184740973669525
45,SVN,1,2,1,4,2016,,,,,,,
46,IDN,1,2,0,3,2016,,,,,,,
47,ROU,1,1,2,4,2016,95.0,1.0,1.0,8.0,41.0,30.0,4.508219234704132
48,BHR,1,1,0,2,2016,,,,,,,
50,TPE,1,0,2,3,2016,55.0,1.0,0.0,1.0,19.0,17.0,3.809731699317421
51,BHS,1,0,1,2,2016,,,,,,,
51,CIV,1,0,1,2,2016,12.0,1.0,0.0,1.0,4.0,4.0,3.8376418216567436
54,FJI,1,0,0,1,2016,,,,,,,
54,JOR,1,0,0,1,2016,8.0,1.0,0.0,0.0,3.0,2.0,3.7417007761153247
54,PRI,1,0,0,1,2016,,,,,,,
54,SGP,1,0,0,1,2016,24.0,0.0,0.0,0.0,8.0,8.0,3.9335828671981616
54,TJK,1,0,0,1,2016,7.0,1.0,0.0,0.0,4.0,3.0,4.93411091355867
60,MYS,0,4,1,5,2016,,,,,,,
61,MEX,0,3,2,5,2016,122.0,0.0,3.0,2.0,38.0,23.0,3.6426141225233675
63,DZA,0,2,0,2,2016,,,,,,,
63,IRL,0,2,0,2,2016,76.0,0.0,3.0,0.0,35.0,31.0,4.02952391273958
65,LTU,0,1,3,4,2016,67.0,0.0,2.0,5.0,33.0,15.0,4.398968535869222
66,BGR,0,1,2,3,2016,,,,,,,
67,IND,0,1,1,2,2016,112.0,0.0,1.0,1.0,47.0,33.0,3.9678475263200967
67,MNG,0,1,1,2,2016,,,,,,,
69,BDI,0,1,0,1,2016,9.0,0.0,1.0,0.0,4.0,3.0,4.605170185988092
69,GRD,0,1,0,1,2016,,,,,,,
69,NER,0,1,0,1,2016,,,,,,,
69,PHL,0,1,0,1,2016,,,,,,,
69,QAT,0,1,0,1,2016,37.0,0.0,1.0,0.0,6.0,7.0,3.23606553609974
74,NOR,0,0,4,4,2016,62.0,0.0,0.0,19.0,38.0,27.0,6.0164320171779915
75,EGY,0,0,3,3,2016,118.0,0.0,0.0,3.0,46.0,37.0,3.7075522683802435
75,TUN,0,0,3,3,2016,61.0,0.0,0.0,3.0,27.0,9.0,4.114455330104115
77,ISR,0,0,2,2,2016,47.0,0.0,0.0,2.0,21.0,15.0,4.01727611969174
78,AUT,0,0,1,1,2016,71.0,0.0,0.0,2.0,39.0,30.0,4.70246251386108
78,DOM,0,0,1,1,2016,26.0,0.0,0.0,1.0,6.0,6.0,3.188194744145602
78,EST,0,0,1,1,2016,46.0,0.0,0.0,4.0,27.0,20.0,5.105732162725928
78,FIN,0,0,1,1,2016,54.0,0.0,0.0,1.0,26.0,16.0,4.306686933192568
78,MAR,0,0,1,1,2016,48.0,0.0,0.0,1.0,21.0,12.0,3.645759730573906
78,NGA,0,0,1,1,2016,,,,,,,
78,PRT,0,0,1,1,2016,,,,,,,
78,TTO,0,0,1,1,2016,28.0,0.0,0.0,1.0,22.0,17.0,6.989990460874782
78,ARE,0,0,1,1,2016,,,,,,,
1,USA,39,41,33,113,2020,633.0,85.0,77.0,55.0,147.0,244.0,4.656096238597755
2,CHN,38,32,19,89,2020,417.0,39.0,38.0,27.0,8.0,100.0,3.1750274064066577
3,JPN,27,14,17,58,2020,613.0,62.0,23.0,13.0,128.0,201.0,3.6435685810835636
4,GBR,22,20,22,64,2020,392.0,20.0,29.0,47.0,98.0,161.0,4.352590698746398
6,AUS,17,7,22,46,2020,489.0,17.0,27.0,38.0,141.0,198.0,4.101332548052789
7,NLD,10,12,14,36,2020,,,,,,,
8,FRA,10,12,11,33,2020,396.0,51.0,36.0,27.0,77.0,146.0,3.983007042174044
9,DEU,10,11,16,37,2020,,,,,,,
10,ITA,10,10,20,40,2020,377.0,18.0,8.0,24.0,103.0,169.0,4.018835520398095
11,CAN,7,7,10,24,2020,386.0,35.0,5.0,23.0,106.0,152.0,3.8953058697541763
12,BRA,7,6,8,21,2020,319.0,28.0,17.0,9.0,61.0,103.0,3.572976868439037
13,NZL,7,6,7,20,2020,228.0,26.0,24.0,8.0,72.0,97.0,4.23150506124783
14,CUB,7,3,5,15,2020,69.0,7.0,3.0,5.0,1.0,14.0,2.936630263528638
15,HUN,6,7,7,20,2020,171.0,4.0,7.0,31.0,15.0,62.0,3.447144934540794
17,POL,4,5,5,14,2020,218.0,6.0,13.0,4.0,47.0,84.0,3.42219068867005
19,KEN,4,4,2,10,2020,87.0,3.0,4.0,2.0,7.0,8.0,2.9907139713600825
20,NOR,4,2,2,8,2020,93.0,5.0,2.0,16.0,14.0,24.0,3.441498149743789
21,JAM,4,1,4,9,2020,61.0,5.0,1.0,6.0,15.0,32.0,4.189949923317034
22,ESP,3,8,6,17,2020,334.0,2.0,42.0,21.0,4.0,56.0,2.8403145458489427
23,SWE,3,6,0,9,2020,136.0,6.0,27.0,0.0,31.0,45.0,3.775562321600531
24,CHE,3,4,6,13,2020,,,,,,,
25,DNK,3,4,4,11,2020,,,,,,,
26,HRV,3,3,2,8,2020,,,,,,,
28,SRB,3,1,5,9,2020,87.0,15.0,1.0,18.0,5.0,19.0,3.4671108871519545
29,BEL,3,1,3,7,2020,130.0,19.0,1.0,6.0,23.0,52.0,3.4184532534450067
30,BGR,3,1,2,6,2020,,,,,,,
31,SVN,3,1,1,5,2020,,,,,,,
32,UZB,3,0,2,5,2020,67.0,3.0,0.0,2.0,10.0,22.0,3.1617586351560036
33,GEO,2,5,1,8,2020,35.0,2.0,5.0,1.0,10.0,11.0,3.8157124398187046
34,TPE,2,4,6,12,2020,68.0,3.0,2.0,5.0,1.0,21.0,2.9459544572129706
35,TUR,2,2,9,13,2020,107.0,2.0,2.0,8.0,9.0,22.0,2.88361123795516
36,GRC,2,1,1,4,2020,,,,,,,
36,UGA,2,1,1,4,2020,25.0,2.0,0.0,0.0,7.0,7.0,3.4999293413509496
38,ECU,2,1,0,3,2020,47.0,2.0,1.0,0.0,2.0,8.0,2.596532126142222
39,IRL,2,0,2,4,2020,125.0,3.0,0.0,5.0,23.0,42.0,3.1315157264719025
39,ISR,2,0,2,4,2020,90.0,2.0,0.0,1.0,9.0,31.0,2.9677763420812147
41,QAT,2,0,1,3,2020,16.0,2.0,0.0,2.0,2.0,3.0,3.309966071178941
42,BHS,2,0,0,2,2020,,,,,,,
44,UKR,1,6,12,19,2020,153.0,1.0,3.0,17.0,38.0,66.0,3.7322947912583224
45,BLR,1,3,3,7,2020,103.0,1.0,4.0,3.0,4.0,24.0,2.7720441896239
46,ROU,1,3,0,4,2020,104.0,2.0,7.0,0.0,10.0,16.0,2.9003716075213464
48,IND,1,2,4,7,2020,126.0,1.0,2.0,21.0,21.0,34.0,3.2711327908407477
49,HKG,1,2,3,6,2020,44.0,1.0,0.0,3.0,0.0,17.0,2.7212369280838726
50,PHL,1,2,1,4,2020,,,,,,,
50,SVK,1,2,1,4,2020,41.0,1.0,2.0,2.0,5.0,15.0,3.2011548853819667
52,ZAF,1,2,0,3,2020,,,,,,,
53,AUT,1,1,5,7,2020,76.0,1.0,1.0,5.0,18.0,32.0,3.544769156319781
54,EGY,1,1,4,6,2020,140.0,1.0,1.0,4.0,24.0,51.0,2.976913584513731
55,IDN,1,1,3,5,2020,,,,,,,
56,ETH,1,1,2,4,2020,37.0,1.0,1.0,2.0,3.0,4.0,2.7382092997767034
56,PRT,1,1,2,4,2020,,,,,,,
58,TUN,1,1,0,2,2020,63.0,1.0,1.0,0.0,6.0,15.0,2.923917578405138
59,EST,1,0,1,2,2020,33.0,1.0,0.0,1.0,14.0,17.0,4.465619574291483
59,FJI,1,0,1,2,2020,,,,,,,
59,LVA,1,0,1,2,2020,,,,,,,
59,THA,1,0,1,2,2020,41.0,1.0,0.0,1.0,13.0,18.0,3.5381185575274365
63,BMU,1,0,0,1,2020,,,,,,,
63,MAR,1,0,0,1,2020,46.0,0.0,0.0,0.0,6.0,9.0,2.7030346743843148
63,PRI,1,0,0,1,2020,,,,,,,
66,COL,0,4,1,5,2020,69.0,0.0,4.0,1.0,1.0,10.0,2.5361806821383692
67,AZE,0,3,4,7,2020,44.0,0.0,3.0,4.0,5.0,7.0,3.192220242559927
68,DOM,0,3,2,5,2020,66.0,0.0,6.0,25.0,1.0,7.0,3.453877639491069
69,ARM,0,2,2,4,2020,17.0,0.0,2.0,1.0,5.0,6.0,4.198831640165613
70,KGZ,0,2,1,3,2020,16.0,0.0,2.0,1.0,2.0,2.0,3.0221429345546853
71,MNG,0,1,3,4,2020,,,,,,,
72,ARG,0,1,2,3,2020,189.0,0.0,18.0,25.0,24.0,36.0,3.37468820507593
72,SMR,0,1,2,3,2020,5.0,0.0,0.0,2.0,1.0,3.0,5.065687204586901
74,JOR,0,1,1,2,2020,14.0,0.0,1.0,1.0,2.0,3.0,3.1249369119204906
74,MYS,0,1,1,2,2020,,,,,,,
74,NGA,0,1,1,2,2020,,,,,,,
77,BHR,0,1,0,1,2020,,,,,,,
77,LTU,0,1,0,1,2020,42.0,0.0,1.0,0.0,7.0,13.0,3.0701134573253945
77,NAM,0,1,0,1,2020,11.0,0.0,1.0,0.0,2.0,2.0,3.349214680718612
77,MKD,0,1,0,1,2020,8.0,0.0,1.0,0.0,0.0,0.0,2.5904082296183017
77,SAU,0,1,0,1,2020,,,,,,,
77,TKM,0,1,0,1,2020,9.0,0.0,1.0,0.0,0.0,1.0,2.5584278811044956
83,KAZ,0,0,8,8,2020,97.0,0.0,0.0,8.0,20.0,32.0,3.109676775074433
84,MEX,0,0,4,4,2020,162.0,0.0,0.0,23.0,1.0,25.0,2.7005627633880787
85,FIN,0,0,2,2,2020,45.0,0.0,0.0,1.0,7.0,10.0,2.9677763420812147
86,BWA,0,0,1,1,2020,,,,,,,
86,BFA,0,0,1,1,2020,,,,,,,
86,GHA,0,0,1,1,2020,14.0,0.0,0.0,1.0,2.0,4.0,2.795996184349913
86,GRD,0,0,1,1,2020,,,,,,,
86,CIV,0,0,1,1,2020,31.0,0.0,0.0,1.0,1.0,2.0,2.5996928469287615
86,KWT,0,0,1,1,2020,,,,,,,
86,MDA,0,0,1,1,2020,20.0,0.0,0.0,1.0,5.0,8.0,3.108489875541962
1,USA,40,44,42,126,2024,,,,,,,
2,CHN,40,27,24,91,2024,,,,,,,
3,JPN,20,12,13,45,2024,,,,,,,
4,AUS,18,19,16,53,2024,,,,,,,
5,FRA,16,26,22,64,2024,,,,,,,
6,NLD,15,7,12,34,2024,,,,,,,
7,GBR,14,22,29,65,2024,,,,,,,
9,ITA,12,13,15,40,2024,,,,,,,
10,DEU,12,13,8,33,2024,,,,,,,
11,NZL,10,7,3,20,2024,,,,,,,
12,CAN,9,7,11,27,2024,,,,,,,
13,UZB,8,2,3,13,2024,,,,,,,
14,HUN,6,7,6,19,2024,,,,,,,
15,ESP,5,4,9,18,2024,,,,,,,
16,SWE,4,4,3,11,2024,,,,,,,
17,KEN,4,2,5,11,2024,,,,,,,
18,NOR,4,1,3,8,2024,,,,,,,
19,IRL,4,0,3,7,2024,,,,,,,
20,BRA,3,7,10,20,2024,,,,,,,
22,UKR,3,5,4,12,2024,,,,,,,
23,ROU,3,4,2,9,2024,,,,,,,
24,GEO,3,3,1,7,2024,,,,,,,
25,BEL,3,1,6,10,2024,,,,,,,
26,BGR,3,1,3,7,2024,,,,,,,
27,SRB,3,1,1,5,2024,,,,,,,
29,DNK,2,2,5,9,2024,,,,,,,
30,AZE,2,2,3,7,2024,,,,,,,
30,HRV,2,2,3,7,2024,,,,,,,
32,CUB,2,1,6,9,2024,,,,,,,
33,BHR,2,1,1,4,2024,,,,,,,
34,SVN,2,1,0,3,2024,,,,,,,
35,TPE,2,0,5,7,2024,,,,,,,
36,AUT,2,0,3,5,2024,,,,,,,
37,HKG,2,0,2,4,2024,,,,,,,
37,PHL,2,0,2,4,2024,,,,,,,
39,DZA,2,0,1,3,2024,,,,,,,
39,IDN,2,0,1,3,2024,,,,,,,
41,ISR,1,5,1,7,2024,,,,,,,
42,POL,1,4,5,10,2024,,,,,,,
43,KAZ,1,3,3,7,2024,,,,,,,
44,JAM,1,3,2,6,2024,,,,,,,
44,ZAF,1,3,2,6,2024,,,,,,,
44,THA,1,3,2,6,2024,,,,,,,
47,ETH,1,3,0,4,2024,,,,,,,
48,CHE,1,2,5,8,2024,,,,,,,
49,ECU,1,2,2,5,2024,,,,,,,
50,PRT,1,2,1,4,2024,,,,,,,
51,GRC,1,1,6,8,2024,,,,,,,
52,ARG,1,1,1,3,2024,,,,,,,
52,EGY,1,1,1,3,2024,,,,,,,
52,TUN,1,1,1,3,2024,,,,,,,
55,BWA,1,1,0,2,2024,,,,,,,
55,CHL,1,1,0,2,2024,,,,,,,
55,LCA,1,1,0,2,2024,,,,,,,
55,UGA,1,1,0,2,2024,,,,,,,
59,DOM,1,0,2,3,2024,,,,,,,
60,GTM,1,0,1,2,2024,,,,,,,
60,MAR,1,0,1,2,2024,,,,,,,
62,DMA,1,0,0,1,2024,,,,,,,
62,PAK,1,0,0,1,2024,,,,,,,
64,TUR,0,3,5,8,2024,,,,,,,
65,MEX,0,3,2,5,2024,,,,,,,
66,ARM,0,3,1,4,2024,,,,,,,
66,COL,0,3,1,4,2024,,,,,,,
68,KGZ,0,2,4,6,2024,,,,,,,
68,PRK,0,2,4,6,2024,,,,,,,
70,LTU,0,2,2,4,2024,,,,,,,
71,IND,0,1,5,6,2024,,,,,,,
72,MDA,0,1,3,4,2024,,,,,,,
74,CYP,0,1,0,1,2024,,,,,,,
74,FJI,0,1,0,1,2024,,,,,,,
74,JOR,0,1,0,1,2024,,,,,,,
74,MNG,0,1,0,1,2024,,,,,,,
74,PAN,0,1,0,1,2024,,,,,,,
79,TJK,0,0,3,3,2024,,,,,,,
80,ALB,0,0,2,2,2024,,,,,,,
80,GRD,0,0,2,2,2024,,,,,,,
80,MYS,0,0,2,2,2024,,,,,,,
80,PRI,0,0,2,2,2024,,,,,,,
84,CPV,0,0,1,1,2024,,,,,,,
84,CIV,0,0,1,1,2024,,,,,,,
84,PER,0,0,1,1,2024,,,,,,,
84,QAT,0,0,1,1,2024,,,,,,,
84,SGP,0,0,1,1,2024,,,,,,,
84,SVK,0,0,1,1,2024,,,,,,,
84,ZMB,0,0,1,1,2024,,,,,,,
