Name,NOC,Year,Number of Sports Athlete Plays,Number of Events Athlete Competes In,Number of Games Athlete Competed In,Won_Gold_True,Won_Silver_True,Won_Bronze_True,Athlete's Gold Medals,Athlete's Silver Medals,Athlete's Bronze Medals,Male_True
Malin Alshammar,SWE,2012,1,3,5,0,0,0,0,2,1,0
Malin Alshammar,SWE,2016,1,3,5,0,0,0,0,2,1,0
Julio Alsogaray,ARG,2008,1,1,3,0,0,0,0,0,0,1
Julio Alsogaray,ARG,2012,1,1,3,0,0,0,0,0,0,1
Julio Alsogaray,ARG,2016,1,1,3,0,0,0,0,0,0,1
Ida Alstad,NOR,2012,1,1,2,1,0,0,1,0,1,0
Ida Alstad,NOR,2016,1,1,2,0,0,1,1,0,1,0
Tabea Alt,GER,2016,1,3,1,0,0,0,0,0,0,0
Lutz Altepost,GER,2004,1,2,2,0,0,0,0,0,1,1
Lutz Altepost,GER,2008,1,2,2,0,0,1,0,0,1,1
Anja Althaus,GER,2008,1,1,1,0,0,0,0,0,0,0
Maria Altheman,BRA,2012,1,1,2,0,0,0,0,0,0,0
Maria Altheman,BRA,2016,1,1,2,0,0,0,0,0,0,0
Josmer Altidore,USA,2008,1,1,1,0,0,0,0,0,0,1
Elif Altnkaynak,TUR,2000,1,2,1,0,0,0,0,0,0,0
Michael Altman,USA,2008,1,1,1,0,0,0,0,0,0,1
Pavlo Altukhov,UKR,2016,2,3,2,0,0,0,0,0,0,1
Joanne Aluka,NGR,2004,1,1,1,0,0,0,0,0,0,0
Eniola Aluko,GBR,2012,1,1,1,0,0,0,0,0,0,0
Dorin Alupei,ROU,2000,1,1,1,0,0,0,0,0,0,1
Alexandros Alvanos,GRE,2004,1,1,1,0,0,0,0,0,0,1
Reiver Domnguez,VEN,2000,1,1,2,0,0,0,0,0,0,1
Reiver Domnguez,VEN,2004,1,1,2,0,0,0,0,0,0,1
Alberto Muoz,MEX,2016,2,2,3,0,0,0,0,0,0,1
Anita Alvarez,USA,2016,2,2,2,0,0,0,0,0,0,0
Cristin Valenzuela,CHI,2000,1,1,1,0,0,1,0,0,1,1
David Martnez,HON,2008,2,2,2,0,0,0,0,0,0,1
Eduardo Aznar,ESP,2016,1,2,1,0,0,0,0,0,0,1
Elider Beitar,COL,2008,1,1,1,0,0,0,0,0,0,1
Estefana Piedrahita,COL,2016,1,1,1,0,0,0,0,0,0,0
Francisco Cutio,CUB,2004,1,1,1,0,0,0,0,0,0,1
Isael Bicez,CUB,2000,1,1,1,0,0,0,0,0,0,1
Ivn Gutirrez,ESP,2004,1,1,1,0,0,0,0,0,0,1
Kevin Hernndez,HON,2016,1,1,1,0,0,0,0,0,0,1
Lzaro Estrada,CUB,2012,1,2,2,0,0,1,0,0,2,1
Lzaro Estrada,CUB,2016,1,2,2,0,0,1,0,0,2,1
Luis Murillo,MEX,2012,1,2,1,0,0,0,0,0,0,1
Melquades Caraballo,ESP,2008,1,2,1,0,0,0,0,0,0,1
Nancy Lvarez,ARG,2004,1,1,1,0,0,0,0,0,0,0
Pablo Lvarez,ARG,2000,1,3,2,0,0,0,0,0,0,1
Pablo Lvarez,ARG,2004,1,3,2,0,0,0,0,0,0,1
Rafael Serrano,ESP,2000,1,1,1,0,0,0,0,0,0,1
Rubn Hoyos,ESP,2000,1,1,2,0,0,0,0,0,0,1
Rubn Hoyos,ESP,2004,1,1,2,0,0,0,0,0,0,1
Santiago Fourcade,ARG,2016,1,1,1,0,0,0,0,0,0,1
Sara Menndez,ESP,2000,1,1,2,0,0,0,0,0,0,0
Sara Menndez,ESP,2004,1,1,2,0,0,0,0,0,0,0
Sergio Moya,ESP,2016,1,2,1,0,0,0,0,0,0,1
Sergio Boulet,CUB,2000,1,1,3,0,0,0,0,0,0,1
Sergio Boulet,CUB,2008,1,1,3,0,0,0,0,0,0,1
Sergio Boulet,CUB,2012,1,1,3,0,0,0,0,0,0,1
Vilma Gngora,CUB,2000,1,1,1,0,0,0,0,0,0,0
Miguel Garca,ESP,2016,1,2,1,0,0,0,0,0,0,1
lvaro Aquino,BRA,2000,1,1,1,0,0,0,0,0,0,1
Yuri Orjuela,COL,2008,1,1,3,0,0,0,0,1,1,0
Yuri Orjuela,COL,2012,1,1,3,0,0,1,0,1,1,0
Yuri Orjuela,COL,2016,1,1,3,0,1,0,0,1,1,0
Frangiskos Alvertis,GRE,2004,1,1,1,0,0,0,0,0,0,1
Bruno Alves,POR,2004,1,1,1,0,0,0,0,0,0,1
Higor Alves,BRA,2016,1,1,1,0,0,0,0,0,0,1
Thiago Alves,BRA,2012,1,1,1,0,1,0,0,1,0,1
Mohamed Reda,EGY,2004,1,1,1,0,1,0,0,1,0,1
Nariman Aly,EGY,2016,1,1,1,0,0,0,0,0,0,0
Anna Alyabyeva,KAZ,2012,1,1,1,0,0,0,0,0,0,0
Romanos Alyfantis,GRE,2004,1,4,2,0,0,0,0,0,0,1
Romanos Alyfantis,GRE,2008,1,4,2,0,0,0,0,0,0,1
Maksim Alyoshin,RUS,2000,1,8,1,0,0,0,0,0,1,1
Yevgeny Alyoshin,RUS,2004,1,2,1,0,0,0,0,0,0,1
Miguel Riera,ESP,2000,1,2,2,0,0,0,0,0,0,1
Miguel Riera,ESP,2004,1,2,2,0,0,0,0,0,0,1
Carlos Escobar,COL,2008,1,1,1,0,0,0,0,0,0,1
Mactabene Amachree,NGR,2004,1,1,1,0,0,0,0,0,0,0
Isabella Medrano,PAN,2016,1,4,1,0,0,0,0,0,0,0
Andrey Bikkazakova,CRC,2012,1,1,2,0,0,0,0,0,0,1
Andrey Bikkazakova,CRC,2016,1,1,2,0,0,0,0,0,0,1
Darisleydis Rodrguez,CUB,2012,1,2,1,0,0,0,0,0,0,0
Mohammed Geleto,ETH,2012,1,1,2,0,0,0,0,0,0,1
Mohammed Geleto,ETH,2016,1,1,2,0,0,0,0,0,0,1
Simona (-tabr),ROU,2000,1,6,1,1,0,0,2,0,1,0
Rasoul Amani,NZL,2000,1,1,1,0,0,0,0,0,0,1
Mohamed Amanissi,MAR,2008,1,1,1,0,0,0,0,0,0,1
Alex Amankwah,GHA,2016,1,1,1,0,0,0,0,0,0,1
Akgul Amanmuradova,UZB,2008,1,1,1,0,0,0,0,0,0,0
Misa Amano,JPN,2004,1,2,1,0,0,0,0,0,0,0
Marielle Amant,FRA,2016,1,1,1,0,0,0,0,0,0,0
Aguida Amaral,IOA,2000,1,1,2,0,0,0,0,0,0,0
Aguida Amaral,TLS,2004,1,1,2,0,0,0,0,0,0,0
Rosa Amaral,ANG,2004,1,1,1,0,0,0,0,0,0,0
Catello Amarante,ITA,2000,1,1,3,0,0,0,0,0,1,1
Catello Amarante,ITA,2004,1,1,3,0,0,1,0,0,1,1
Catello Amarante,ITA,2008,1,1,3,0,0,0,0,0,1,1
Hailemariyam Tegen,ETH,2016,1,1,1,0,0,0,0,0,0,1
Carmen (-lingu),ROU,2008,1,1,1,0,0,0,0,0,0,0
Yadinis Rocha,COL,2012,1,1,2,0,0,0,0,0,0,0
Yadinis Rocha,COL,2016,1,1,2,0,0,0,0,0,0,0
Nauraj Singh,MAS,2016,1,1,1,0,0,0,0,0,0,1
Jaime Durn,ESP,2000,1,1,1,0,0,0,0,0,0,1
Jean-Pierre Amat,FRA,2000,1,3,1,0,0,0,0,0,0,1
Pablo Escud,ESP,2000,1,1,4,0,0,0,0,1,0,1
Pablo Escud,ESP,2004,1,1,4,0,0,0,0,1,0,1
Pablo Escud,ESP,2008,1,1,4,0,1,0,0,1,0,1
Pablo Escud,ESP,2012,1,1,4,0,0,0,0,1,0,1
Eyawomano Amata,NGR,2008,1,1,3,0,0,0,0,0,0,0
Eyawomano Amata,NGR,2012,1,1,3,0,0,0,0,0,0,0
Eyawomano Amata,NGR,2016,1,1,3,0,0,0,0,0,0,0
Elena Amato,ITA,2000,1,1,1,0,0,0,0,0,0,0
Serena Amato,ARG,2000,1,1,2,0,0,1,0,0,1,0
Serena Amato,ARG,2004,1,1,2,0,0,0,0,0,1,0
Ivn Carazo,ESP,2000,1,1,1,0,1,0,0,1,0,1
Kim Amb,SWE,2012,1,2,3,0,0,0,0,0,0,1
Kim Amb,SWE,2016,1,2,3,0,0,0,0,0,0,1
William Ndayara,KEN,2016,1,1,1,0,0,0,0,0,0,1
Eloise Amberger,AUS,2008,1,2,2,0,0,0,0,0,0,0
Eloise Amberger,AUS,2012,1,2,2,0,0,0,0,0,0,0
Serge Ambomo,CMR,2012,1,1,1,0,0,0,0,0,0,1
Mal Ambonguilat,GAB,2016,1,1,1,0,0,0,0,0,0,1
Harald Ambros,AUT,2004,1,2,3,0,0,0,0,0,0,1
Harald Ambros,AUT,2008,1,2,3,0,0,0,0,0,0,1
Harald Ambros,AUT,2012,1,2,3,0,0,0,0,0,0,1
Klaus Ambrosch,AUT,2000,1,1,1,0,0,0,0,0,0,1
Efetobore Emuobo,NGR,2008,1,1,1,0,1,0,0,1,0,1
Christie Ambrosi,USA,2000,1,1,1,1,0,0,1,0,0,0
Massimo Ambrosini,ITA,2000,1,1,1,0,0,0,0,0,0,1
Felizardo Ambrsio,ANG,2008,1,1,1,0,0,0,0,0,0,1
Paulus Ambunda,NAM,2004,1,1,1,0,0,0,0,0,0,1
Sabrina Ameghino,ARG,2016,1,2,1,0,0,0,0,0,0,0
Ajuma Ameh,NGR,2004,1,1,1,0,0,0,0,0,0,0
Shenny Amelia,INA,2000,1,1,1,0,0,0,0,0,0,0
Maha Amer,EGY,2016,1,1,1,0,0,0,0,0,0,0
Mohamed Amer,EGY,2016,3,5,3,0,0,0,0,0,0,1
Mohamed Amer,EGY,2008,3,5,3,0,0,0,0,0,0,1
Musa (kipkirui-),QAT,2004,1,1,1,0,0,0,0,0,0,1
Noor Al-ameri,IRQ,2012,1,1,1,0,0,0,0,0,0,0
Nourhan Amer,EGY,2012,1,1,1,0,0,0,0,0,0,0
Christine (-ling),BAH,2000,1,3,5,0,0,0,0,0,0,0
Christine (-ling),BAH,2004,1,3,5,0,0,0,0,0,0,0
Christine (-ling),BAH,2008,1,3,5,0,0,0,0,0,0,0
Christine (-ling),BAH,2012,1,3,5,0,0,0,0,0,0,0
Christine (-ling),BAH,2016,1,3,5,0,0,0,0,0,0,0
David Ames,GBR,2016,1,2,2,0,0,0,0,0,0,1
Mohamed Ameur,ALG,2008,1,1,1,0,0,0,0,0,0,1
Francesco Amici,SMR,2000,1,1,2,0,0,0,0,0,0,1
Francesco Amici,SMR,2004,1,1,2,0,0,0,0,0,0,1
Audrey Amiel,FRA,2016,1,1,1,0,0,0,0,0,0,0
Sandro Aminashvili,GEO,2016,1,1,1,0,0,0,0,0,0,1
Amir Amini,IRI,2008,1,1,1,0,0,0,0,0,0,1
Vladislav Aminov,RUS,2000,1,1,1,0,0,0,0,0,0,1
Al-Farouq Aminu,NGR,2012,1,1,1,0,0,0,0,0,0,1
Abdul Aminu,NGR,2012,1,1,2,0,0,0,0,0,0,1
Abdul Aminu,NGR,2016,1,1,2,0,0,0,0,0,0,1
Nina Amir,ISR,2016,1,1,1,0,0,0,0,0,0,0
Hasli Hasan,MAS,2008,1,1,1,0,0,0,0,0,0,1
Bbak Amir-tahmasseb,FRA,2000,1,4,2,0,0,0,0,0,0,1
Bbak Amir-tahmasseb,FRA,2004,1,4,2,0,0,0,0,0,0,1
Samira Amirova,UZB,2016,1,1,1,0,0,0,0,0,0,0
Zamira Amirova,UZB,2000,1,2,2,0,0,0,0,0,0,0
Zamira Amirova,UZB,2004,1,2,2,0,0,0,0,0,0,0
Salvatore Amitrano,ITA,2000,1,1,3,0,0,0,0,0,1,1
Salvatore Amitrano,ITA,2004,1,1,3,0,0,1,0,0,1,1
Salvatore Amitrano,ITA,2008,1,1,3,0,0,0,0,0,1,1
Timothy Amitrano,AUS,2004,1,1,1,0,0,0,0,0,0,1
Savitree Amitrapai,THA,2016,1,1,1,0,0,0,0,0,0,0
Caroline (-burger),FRA,2000,1,1,1,0,0,0,0,0,0,0
Christian Amoah,GHA,2016,1,2,2,0,0,0,0,0,0,1
Andrew Amonde,KEN,2016,1,2,2,0,0,0,0,0,0,1
Seth Amoo,GHA,2008,1,1,1,0,0,0,0,0,0,1
Eugenio Amore,ITA,2008,1,1,1,0,0,0,0,0,0,1
Ana Amorim,BRA,2004,1,1,1,0,0,0,0,0,0,0
Gonalo Amorim,POR,2004,1,1,1,0,0,0,0,0,0,1
Eduarda Amorim-taleska,BRA,2008,1,1,3,0,0,0,0,0,0,0
Eduarda Amorim-taleska,BRA,2012,1,1,3,0,0,0,0,0,0,0
Eduarda Amorim-taleska,BRA,2016,1,1,3,0,0,0,0,0,0,0
Vanessa Quiles,ESP,2004,1,1,2,0,0,0,0,0,1,0
Vanessa Quiles,ESP,2012,1,1,2,0,0,1,0,0,1,0
Nijel Amos,BOT,2012,1,2,3,0,1,0,0,1,0,1
Nijel Amos,BOT,2016,1,2,3,0,0,0,0,1,0,1
Troy Amos-ross,CAN,2000,1,1,1,0,0,0,0,0,0,1
Paulo Lokoro,ROT,2016,1,1,1,0,0,0,0,0,0,1
Roman Amoyan,ARM,2008,1,1,1,0,0,1,0,0,1,1
Alberta Ampomah,GHA,2012,1,1,1,0,0,0,0,0,0,0
John Ampomah,GHA,2016,1,1,1,0,0,0,0,0,0,1
Janet Amponsah,GHA,2016,1,2,1,0,0,0,0,0,0,0
Omar Amr,USA,2004,1,1,1,0,0,0,0,0,0,1
Noureddine Amrabat,MAR,2012,1,1,1,0,0,0,0,0,0,1
Rafik Amrane,ALG,2000,1,1,1,0,0,0,0,0,0,1
Marwa Al-amri,TUN,2008,1,1,3,0,0,0,0,0,1,0
Marwa Al-amri,TUN,2012,1,1,3,0,0,0,0,0,1,0
Marwa Al-amri,TUN,2016,1,1,3,0,0,1,0,0,1,0
Iryna Amshennikova,UKR,2004,1,3,2,0,0,0,0,0,0,0
Iryna Amshennikova,UKR,2008,1,3,2,0,0,0,0,0,0,0
Mohamed Amsif,MAR,2012,1,1,1,0,0,0,0,0,0,1
Oluwatobiloba Amusan,NGR,2016,1,1,1,0,0,0,0,0,0,0
Stanley Amuzie,NGR,2016,1,1,1,0,0,1,0,0,1,1
Mohamed Amyn,MAR,2004,1,1,1,0,0,0,0,0,0,1
Hassan Amzile,FRA,2016,1,1,1,0,0,0,0,0,0,1
An Ba-ul,KOR,2016,1,1,1,0,1,0,0,1,0,1
An Byeong-hun,KOR,2016,1,1,1,0,0,0,0,0,0,1
An Chang-rim,KOR,2016,1,1,1,0,0,0,0,0,0,1
An Hyo-ju,KOR,2016,1,1,1,0,0,0,0,0,0,0
An Jeong-hwa,KOR,2008,1,1,1,0,0,1,0,0,1,0
An Kum-ae,PRK,2008,1,1,2,0,1,0,1,1,0,0
An Kum-ae,PRK,2012,1,1,2,1,0,0,1,1,0,0
An Se-hyeon,KOR,2016,1,2,1,0,0,0,0,0,0,0
An Seul-ki,KOR,2016,1,1,1,0,0,0,0,0,0,0
An Su-gyeong,KOR,2004,1,2,2,0,0,0,0,0,0,0
An Su-gyeong,KOR,2008,1,2,2,0,0,0,0,0,0,0
An Yong-gwon,KOR,2004,1,1,1,0,0,0,0,0,0,1
An Zhongxin,CHN,2000,1,1,1,0,0,0,0,0,0,0
Ana Rodrigues-belo,BRA,2008,1,1,3,0,0,0,0,0,0,0
Ana Rodrigues-belo,BRA,2012,1,1,3,0,0,0,0,0,0,0
Ana Rodrigues-belo,BRA,2016,1,1,3,0,0,0,0,0,0,0
Ana Henkel),BRA,2004,1,1,2,0,0,0,0,0,0,0
Ana Henkel),BRA,2008,1,1,2,0,0,0,0,0,0,0
Phara Anacharsis,FRA,2008,1,2,3,0,0,0,0,0,0,0
Phara Anacharsis,FRA,2012,1,2,3,0,0,0,0,0,0,0
Phara Anacharsis,FRA,2016,1,2,3,0,0,0,0,0,0,0
Tnia Grgorio,MOZ,2000,1,1,1,0,0,0,0,0,0,0
Ioanna Anagnostopoulou,GRE,2016,1,1,1,0,0,0,0,0,0,0
Khrysoula Anagnostopoulou,GRE,2016,1,1,1,0,0,0,0,0,0,0
Yasemin Anagz,TUR,2016,1,1,1,0,0,0,0,0,0,0
Takamasa Anai,JPN,2012,1,1,1,0,0,0,0,0,0,1
Jimmy Ahar,BRU,2004,1,1,1,0,0,0,0,0,0,1
Lolita Ananasova,UKR,2016,1,2,1,0,0,0,0,0,0,0
Zoya Ananchenko,KAZ,2016,1,2,1,0,0,0,0,0,0,0
Anis Ananenko,BLR,2012,1,1,1,0,0,0,0,0,0,1
Tatyana Ananko,BLR,2000,1,1,1,0,1,0,0,1,0,0
Mohsen Mustapha,EGY,2008,1,1,1,0,0,0,0,0,0,1
Mikhailis Anastasakis,GRE,2016,1,1,1,0,0,0,0,0,0,1
Konstantinos Anastasiou,GRE,2008,1,1,1,0,0,0,0,0,0,1
Savina Anastasiou,GRE,2004,1,1,1,0,0,0,0,0,0,0
Asya Anastasova,BUL,2004,1,1,1,0,0,0,0,0,0,0
Anton Anchin,RUS,2012,1,1,1,0,0,0,0,0,0,1
Mario Ani,CRO,2000,1,2,2,0,0,0,0,0,1,1
Mario Ani,CRO,2004,1,2,2,0,0,0,0,0,1,1
Kenneth Andam,GHA,2000,1,1,1,0,0,0,0,0,0,1
Leopoldo Gonzlez,VEN,2008,1,2,1,0,0,0,0,0,0,1
Olaf Andel,NED,2008,1,1,1,0,0,0,0,0,0,1
Ragnhild Andens,NOR,2000,1,2,1,0,0,0,0,0,0,0
milie Andol,FRA,2016,1,1,1,1,0,0,1,0,0,0
Thomas Andergassen,GER,2004,1,5,2,0,0,0,0,0,0,1
Thomas Andergassen,GER,2008,1,5,2,0,0,0,0,0,0,1
Helga-Beate Anders-gummelt,GER,2000,1,1,1,0,0,0,0,0,0,0
Anne Andersen,DEN,2016,1,1,1,0,0,1,0,0,1,0
Camilla Andersen,DEN,2000,1,1,1,1,0,0,1,0,0,0
David Andersen,AUS,2004,1,1,4,0,0,0,0,0,0,1
David Andersen,AUS,2008,1,1,4,0,0,0,0,0,0,1
David Andersen,AUS,2012,1,1,4,0,0,0,0,0,0,1
David Andersen,AUS,2016,1,1,4,0,0,0,0,0,0,1
Dennis Andersen,DEN,2004,1,1,1,0,0,0,0,0,0,1
Frida Andersn,SWE,2016,1,2,1,0,0,0,0,0,0,0
Henrik Andersen,DEN,2000,1,2,1,0,0,0,0,0,0,1
Jim Andersen,NOR,2004,1,1,1,0,0,0,0,0,0,1
Kristine Andersen,DEN,2004,1,1,1,1,0,0,1,0,0,0
Mads Andersen,DEN,2008,1,1,1,1,0,0,1,0,0,1
Mette Andersen,DEN,2004,1,1,1,0,0,0,0,0,0,0
Peter Andersen,DEN,2004,1,1,1,0,0,0,0,0,0,1
Stine Andersen,DEN,2012,1,1,1,0,0,0,0,0,0,0
nderson Oliveira,BRA,2008,1,1,1,0,0,1,0,0,1,1
Anderson Rodrigues,BRA,2004,1,1,2,1,0,0,1,1,0,1
Anderson Rodrigues,BRA,2008,1,1,2,0,1,0,1,1,0,1
Alyssa Anderson,USA,2012,1,1,1,1,0,0,1,0,0,0
Andrea (-bolder),USA,2000,1,1,1,1,0,0,1,0,0,0
Brett Anderson,USA,2008,1,1,1,0,0,1,0,0,1,1
Craig Anderson,AUS,2000,1,1,2,0,0,0,0,1,0,1
Craig Anderson,AUS,2004,1,1,2,0,1,0,0,1,0,1
Gary Anderson,NZL,2000,1,2,1,0,0,0,0,0,0,1
Haley Anderson,USA,2012,2,2,3,0,1,0,0,1,0,0
Haley Anderson,USA,2016,2,2,3,0,0,0,0,1,0,0
Jenny-Lyn Anderson,AUS,2012,1,1,1,0,0,0,0,0,0,0
Keturah Anderson,CAN,2000,1,1,1,0,0,0,0,0,0,0
Kevin Anderson,RSA,2008,1,2,1,0,0,0,0,0,0,1
Lindsey (olson-),USA,2008,1,1,1,0,0,0,0,0,0,0
Marvin Anderson,JAM,2008,1,1,1,0,0,0,0,0,0,1
Matthew Anderson,USA,2012,1,2,3,0,0,0,0,0,1,1
Matthew Anderson,USA,2016,1,2,3,0,0,1,0,0,1,1
Olanda Anderson,USA,2000,1,1,1,0,0,0,0,0,0,1
Rose Anderson,GBR,2012,1,1,1,0,0,0,0,0,0,0
Shani Anderson,GBR,2000,1,2,1,0,0,0,0,0,0,0
Kate Anderson-richardson,AUS,2000,1,1,1,0,0,0,0,0,0,0
Per (-martinsson),SWE,2004,1,1,1,0,0,0,0,0,0,1
Erik Andersson,SWE,2004,2,2,3,0,0,0,0,1,0,1
Isabellah (amoro-),SWE,2012,1,1,1,0,0,0,0,0,0,0
Jonas Andersson,SWE,2004,2,4,2,0,0,0,0,0,0,1
Jonas Andersson,SWE,2008,2,4,2,0,0,0,0,0,0,1
Jonna Andersson,SWE,2016,1,2,2,0,1,0,0,2,0,0
Kim Andersson,SWE,2012,1,1,2,0,1,0,0,1,0,1
Kim Andersson,SWE,2016,1,1,2,0,0,0,0,1,0,1
Per Andersson,SWE,2000,1,1,1,0,1,0,0,1,0,1
Malin Andersson,SWE,2000,1,1,2,0,0,0,0,0,0,0
Malin Andersson,SWE,2004,1,1,2,0,0,0,0,0,0,0
Jan Andersson,SWE,2004,1,1,1,0,0,0,0,0,0,1
Erik Andersson,SWE,2012,2,2,3,0,1,0,0,1,0,1
Erik Andersson,SWE,2016,2,2,3,0,0,0,0,1,0,1
Lars Andersson,SWE,2000,1,1,1,0,0,0,0,0,0,1
Anna Novais),SWE,2000,1,1,1,0,0,0,0,0,0,0
Carlos Andica,COL,2004,1,2,2,0,0,0,0,0,0,1
Carlos Andica,COL,2008,1,2,2,0,0,0,0,0,0,1
Elizabeth Andiego,KEN,2012,1,1,1,0,0,0,0,0,0,0
Jakob Andkjr,DEN,2008,1,3,1,0,0,0,0,0,0,1
Sofia (-kvarnstrand),SWE,2000,1,1,1,0,0,0,0,0,0,0
Kozue Ando,JPN,2004,1,1,3,0,0,0,0,1,0,0
Kozue Ando,JPN,2008,1,1,3,0,0,0,0,1,0,0
Kozue Ando,JPN,2012,1,1,3,0,1,0,0,1,0,0
Mikiko Ando,JPN,2016,1,1,1,0,0,0,0,0,0,0
Misako Ando,JPN,2000,1,1,1,0,1,0,0,1,0,0
Taro Ando,JPN,2000,1,1,1,0,0,0,0,0,0,1
Yuya Ando,JPN,2004,1,1,1,0,0,1,0,0,1,1
Barbara Andolina,ITA,2004,1,1,1,0,0,0,0,0,0,0
Joanne Andraca,FRA,2008,1,1,1,0,0,0,0,0,0,0
Demetrius Andrade,USA,2008,1,1,1,0,0,0,0,0,0,1
Emanuel Colmenares,VEN,2016,1,1,1,0,0,0,0,0,0,1
Francisco Andrade,POR,2008,1,2,2,0,0,0,0,0,0,1
Francisco Andrade,POR,2012,1,2,2,0,0,0,0,0,0,1
Jayce Andrade,VEN,2008,1,1,1,0,0,0,0,0,0,0
Jordin Andrade,CPV,2016,1,2,2,0,0,0,0,0,0,1
Lady Rodrguez,COL,2012,1,1,2,0,0,0,0,0,0,0
Lady Rodrguez,COL,2016,1,1,2,0,0,0,0,0,0,0
Maria Teixeira,CPV,2016,1,1,1,0,0,0,0,0,0,0
Rafael Andrade,BRA,2016,2,3,3,0,0,0,0,1,0,1
Rebeca Andrade,BRA,2016,2,10,2,0,0,0,1,1,0,0
Marcia Mendoza,VEN,2008,1,1,2,0,0,0,0,0,0,0
Marcia Mendoza,VEN,2012,1,1,2,0,0,0,0,0,0,0
Bjrn Andrae,GER,2008,1,1,2,0,0,0,0,0,0,1
Bjrn Andrae,GER,2012,1,1,2,0,0,0,0,0,0,1
Mathilde Andraud,FRA,2016,1,1,1,0,0,0,0,0,0,0
Joo Andr,POR,2000,1,1,1,0,0,0,0,0,0,1
Nilson Andr,BRA,2012,1,2,1,0,0,0,0,0,0,1
Thiago Andr,BRA,2016,1,1,1,0,0,0,0,0,0,1
Simon Andreassen,DEN,2016,1,1,1,0,0,0,0,0,0,1
Andria Suntaque,BRA,2000,1,1,4,0,0,0,0,2,0,0
Andria Suntaque,BRA,2004,1,1,4,0,1,0,0,2,0,0
Andria Suntaque,BRA,2008,1,1,4,0,1,0,0,2,0,0
Andria Suntaque,BRA,2012,1,1,4,0,0,0,0,2,0,0
Maria Andrejczyk,POL,2016,1,2,2,0,0,0,0,1,0,0
ngel Gabn,ESP,2004,1,1,2,0,0,0,0,0,0,1
ngel Gabn,ESP,2008,1,1,2,0,0,0,0,0,0,1
Antonis Andreou,CYP,2000,1,1,2,0,0,0,0,0,0,1
Antonis Andreou,CYP,2012,1,1,2,0,0,0,0,0,0,1
Georgios Andreou,CYP,2000,1,1,1,0,0,0,0,0,0,1
Panagiota Andreou,CYP,2012,1,1,1,0,0,0,0,0,0,0
Jos Guilln,ESP,2000,1,1,1,0,0,0,0,0,0,1
Andressa Machry,BRA,2016,1,1,1,0,0,0,0,0,0,0
Andressa Silva,BRA,2016,1,1,1,0,0,0,0,0,0,0
Kristjn Andrsson,ISL,2004,1,1,1,0,0,0,0,0,0,1
Maite Rodrguez,ESP,2004,1,1,1,0,0,0,0,0,0,0
Jake Andrewartha,AUS,2012,1,1,1,0,0,0,0,0,0,1
Jessica (-martin),GBR,2016,1,1,1,0,0,0,0,0,0,0
Robert Andrews,USA,2016,1,1,1,0,0,0,0,0,0,1
Susan Andrews,AUS,2000,1,2,1,0,0,0,0,0,0,0
Marian Andrews-heffernan,IRL,2012,1,1,1,0,0,0,0,0,0,0
Georgy Andreyev,RUS,2004,1,1,3,0,0,0,0,0,0,1
Georgy Andreyev,RUS,2008,1,1,3,0,0,0,0,0,0,1
Georgy Andreyev,RUS,2012,1,1,3,0,0,0,0,0,0,1
Igor Andreyev,RUS,2004,1,2,2,0,0,0,0,0,0,1
Igor Andreyev,RUS,2008,1,2,2,0,0,0,0,0,0,1
Leonid Andreyev,UZB,2008,1,2,2,0,0,0,0,0,0,1
Leonid Andreyev,UZB,2016,1,2,2,0,0,0,0,0,0,1
Pavel Andreyev,UZB,2004,1,1,2,0,0,0,0,0,0,1
Pavel Andreyev,UZB,2008,1,1,2,0,0,0,0,0,0,1
Vladimir Andreyev,RUS,2000,1,1,2,0,0,1,0,0,1,1
Vladimir Andreyev,RUS,2004,1,1,2,0,0,0,0,0,1,1
Sofya Andreyeva,RUS,2016,1,1,1,0,0,0,0,0,0,0
Vera Andreyeva,RUS,2008,1,1,1,0,0,0,0,0,0,0
Viktoriya Andreyeva,RUS,2012,1,3,2,0,0,0,0,0,0,0
Viktoriya Andreyeva,RUS,2016,1,3,2,0,0,0,0,0,0,0
Yekaterina Andreyeva,RUS,2012,1,1,1,0,0,0,0,0,0,0
Tojohanitra Andriamanjatoarimanana,MAD,2004,1,1,2,0,0,0,0,0,0,0
Tojohanitra Andriamanjatoarimanana,MAD,2008,1,1,2,0,0,0,0,0,0,0
Ottaviano Andriani,ITA,2008,1,1,1,0,0,0,0,0,0,1
Tatyana Andrianova,RUS,2004,1,1,2,0,0,0,0,0,0,0
Tatyana Andrianova,RUS,2008,1,1,2,0,0,0,0,0,0,0
Yevheniya Andrieieva,UKR,2000,1,1,1,0,0,0,0,0,0,0
Michel Andrieux,FRA,2000,1,1,1,1,0,0,1,0,0,1
Marina Andrievskaia,SWE,2004,1,1,1,0,0,0,0,0,0,0
Valeriy Andriitsev,UKR,2012,1,1,2,0,1,0,0,1,0,1
Valeriy Andriitsev,UKR,2016,1,1,2,0,0,0,0,1,0,1
Paulius Andrijauskas,LTU,2004,1,1,1,0,0,0,0,0,0,1
Eleni Andriola,GRE,2004,1,1,2,0,0,0,0,0,0,0
Eleni Andriola,GRE,2008,1,1,2,0,0,0,0,0,0,0
Gintaras Andriukeviius,LTU,2004,1,1,1,0,0,0,0,0,0,1
Ren Andrle,CZE,2004,1,2,1,0,0,0,0,0,0,1
