Rank,NOC,Gold,Silver,Bronze,Total,Year,Hosting
46,Pakistan,0,0,1,1,1988,False
46,Philippines,0,0,1,1,1988,False
46,Thailand,0,0,1,1,1988,False
1,Unified Team,45,38,29,112,1992,False
2,United States,37,34,37,108,1992,False
3,Germany,33,21,28,82,1992,False
4,China,16,22,16,54,1992,False
5,Cuba,14,6,11,31,1992,False
6,Spain,13,7,2,22,1992,True
7,South Korea,12,5,12,29,1992,False
8,Hungary,11,12,7,30,1992,False
9,France,8,5,16,29,1992,False
10,Australia,7,9,11,27,1992,False
11,Canada,7,4,7,18,1992,False
12,Italy,6,5,8,19,1992,False
13,Great Britain,5,3,12,20,1992,False
14,Romania,4,6,8,18,1992,False
15,Czechoslovakia,4,2,1,7,1992,False
16,North Korea,4,0,5,9,1992,False
17,Japan,3,8,11,22,1992,False
18,Bulgaria,3,7,6,16,1992,False
19,Poland,3,6,10,19,1992,False
20,Netherlands,2,6,7,15,1992,False
21,Kenya,2,4,2,8,1992,False
22,Norway,2,4,1,7,1992,False
23,Turkey,2,2,2,6,1992,False
24,Indonesia,2,2,1,5,1992,False
25,Brazil,2,1,0,3,1992,False
26,Greece,2,0,0,2,1992,False
27,Sweden,1,7,4,12,1992,False
28,New Zealand,1,4,5,10,1992,False
29,Finland,1,2,2,5,1992,False
30,Denmark,1,1,4,6,1992,False
31,Morocco,1,1,1,3,1992,False
32,Ireland,1,1,0,2,1992,False
33,Ethiopia,1,0,2,3,1992,False
34,Algeria,1,0,1,2,1992,False
34,Estonia,1,0,1,2,1992,False
34,Lithuania,1,0,1,2,1992,False
37,Switzerland,1,0,0,1,1992,False
38,Jamaica,0,3,1,4,1992,False
38,Nigeria,0,3,1,4,1992,False
40,Latvia,0,2,1,3,1992,False
41,Austria,0,2,0,2,1992,False
41,Namibia,0,2,0,2,1992,False
41,South Africa,0,2,0,2,1992,False
44,Belgium,0,1,2,3,1992,False
44,Croatia,0,1,2,3,1992,False
44,Independent Olympic Participants,0,1,2,3,1992,False
44,Iran,0,1,2,3,1992,False
48,Israel,0,1,1,2,1992,False
49,Chinese Taipei,0,1,0,1,1992,False
49,Mexico,0,1,0,1,1992,False
49,Peru,0,1,0,1,1992,False
52,Mongolia,0,0,2,2,1992,False
52,Slovenia,0,0,2,2,1992,False
54,Argentina,0,0,1,1,1992,False
54,Bahamas,0,0,1,1,1992,False
54,Colombia,0,0,1,1,1992,False
54,Ghana,0,0,1,1,1992,False
54,Malaysia,0,0,1,1,1992,False
54,Pakistan,0,0,1,1,1992,False
54,Philippines,0,0,1,1,1992,False
54,Puerto Rico,0,0,1,1,1992,False
54,Qatar,0,0,1,1,1992,False
54,Suriname,0,0,1,1,1992,False
54,Thailand,0,0,1,1,1992,False
1,United States,44,32,25,101,1996,True
2,Russia,26,21,16,63,1996,False
3,Germany,20,18,27,65,1996,False
4,China,16,22,12,50,1996,False
5,France,15,7,15,37,1996,False
6,Italy,13,10,12,35,1996,False
7,Australia,9,9,23,41,1996,False
8,Cuba,9,8,8,25,1996,False
9,Ukraine,9,2,12,23,1996,False
10,South Korea,7,15,5,27,1996,False
11,Poland,7,5,5,17,1996,False
12,Hungary,7,4,10,21,1996,False
13,Spain,5,6,6,17,1996,False
14,Romania,4,7,9,20,1996,False
15,Netherlands,4,5,10,19,1996,False
16,Greece,4,4,0,8,1996,False
17,Czech Republic,4,3,4,11,1996,False
18,Switzerland,4,3,0,7,1996,False
19,Denmark,4,1,1,6,1996,False
19,Turkey,4,1,1,6,1996,False
21,Canada,3,11,8,22,1996,False
22,Bulgaria,3,7,5,15,1996,False
23,Japan,3,6,5,14,1996,False
24,Kazakhstan,3,4,4,11,1996,False
25,Brazil,3,3,9,15,1996,False
26,New Zealand,3,2,1,6,1996,False
27,South Africa,3,1,1,5,1996,False
28,Ireland,3,0,1,4,1996,False
29,Sweden,2,4,2,8,1996,False
30,Norway,2,2,3,7,1996,False
31,Belgium,2,2,2,6,1996,False
32,Nigeria,2,1,3,6,1996,False
33,North Korea,2,1,2,5,1996,False
34,Algeria,2,0,1,3,1996,False
34,Ethiopia,2,0,1,3,1996,False
36,Great Britain,1,8,6,15,1996,False
37,Belarus,1,6,8,15,1996,False
38,Kenya,1,4,3,8,1996,False
39,Jamaica,1,3,2,6,1996,False
40,Finland,1,2,1,4,1996,False
41,FR Yugoslavia,1,1,2,4,1996,False
41,Indonesia,1,1,2,4,1996,False
43,Iran,1,1,1,3,1996,False
43,Slovakia,1,1,1,3,1996,False
45,Armenia,1,1,0,2,1996,False
45,Croatia,1,1,0,2,1996,False
47,Portugal,1,0,1,2,1996,False
47,Thailand,1,0,1,2,1996,False
49,Burundi,1,0,0,1,1996,False
49,Costa Rica,1,0,0,1,1996,False
49,Ecuador,1,0,0,1,1996,False
49,Hong Kong,1,0,0,1,1996,False
49,Syria,1,0,0,1,1996,False
54,Argentina,0,2,1,3,1996,False
55,Namibia,0,2,0,2,1996,False
55,Slovenia,0,2,0,2,1996,False
57,Austria,0,1,2,3,1996,False
58,Malaysia,0,1,1,2,1996,False
58,Moldova,0,1,1,2,1996,False
58,Uzbekistan,0,1,1,2,1996,False
61,Azerbaijan,0,1,0,1,1996,False
61,Bahamas,0,1,0,1,1996,False
61,Chinese Taipei,0,1,0,1,1996,False
61,Latvia,0,1,0,1,1996,False
61,Philippines,0,1,0,1,1996,False
61,Tonga,0,1,0,1,1996,False
61,Zambia,0,1,0,1,1996,False
68,Georgia,0,0,2,2,1996,False
68,Morocco,0,0,2,2,1996,False
68,Trinidad and Tobago,0,0,2,2,1996,False
71,India,0,0,1,1,1996,False
71,Israel,0,0,1,1,1996,False
71,Lithuania,0,0,1,1,1996,False
71,Mexico,0,0,1,1,1996,False
71,Mongolia,0,0,1,1,1996,False
71,Mozambique,0,0,1,1,1996,False
71,Puerto Rico,0,0,1,1,1996,False
71,Tunisia,0,0,1,1,1996,False
71,Uganda,0,0,1,1,1996,False
1,United States,37,24,32,93,2000,False
2,Russia,32,28,29,89,2000,False
3,China,28,16,14,58,2000,False
4,Australia,16,25,17,58,2000,True
5,Germany,13,17,26,56,2000,False
6,France,13,14,11,38,2000,False
7,Italy,13,8,13,34,2000,False
8,Netherlands,12,9,4,25,2000,False
9,Cuba,11,11,7,29,2000,False
10,Great Britain,11,10,7,28,2000,False
11,Romania,11,6,9,26,2000,False
12,South Korea,8,10,10,28,2000,False
13,Hungary,8,6,3,17,2000,False
14,Poland,6,5,3,14,2000,False
15,Japan,5,8,5,18,2000,False
16,Bulgaria,5,6,2,13,2000,False
17,Greece,4,6,3,13,2000,False
18,Sweden,4,5,3,12,2000,False
19,Norway,4,3,3,10,2000,False
20,Ethiopia,4,1,3,8,2000,False
21,Ukraine,3,10,10,23,2000,False
22,Kazakhstan,3,4,0,7,2000,False
23,Belarus,3,3,11,17,2000,False
24,Canada,3,3,8,14,2000,False
25,Spain,3,3,5,11,2000,False
26,Turkey,3,0,2,5,2000,False
27,Iran,3,0,1,4,2000,False
28,Czech Republic,2,3,3,8,2000,False
29,Kenya,2,3,2,7,2000,False
30,Denmark,2,3,1,6,2000,False
31,Finland,2,1,1,4,2000,False
32,Austria,2,1,0,3,2000,False
33,Lithuania,2,0,3,5,2000,False
34,Azerbaijan,2,0,1,3,2000,False
34,Bahamas,2,0,1,3,2000,False
36,Slovenia,2,0,0,2,2000,False
37,Switzerland,1,6,2,9,2000,False
38,Indonesia,1,3,2,6,2000,False
39,Slovakia,1,3,1,5,2000,False
40,Mexico,1,2,3,6,2000,False
41,Nigeria,1,2,0,3,2000,False
42,Algeria,1,1,3,5,2000,False
43,Uzbekistan,1,1,2,4,2000,False
44,FR Yugoslavia,1,1,1,3,2000,False
44,Latvia,1,1,1,3,2000,False
46,New Zealand,1,0,3,4,2000,False
47,Estonia,1,0,2,3,2000,False
47,Thailand,1,0,2,3,2000,False
49,Croatia,1,0,1,2,2000,False
50,Cameroon,1,0,0,1,2000,False
50,Colombia,1,0,0,1,2000,False
50,Mozambique,1,0,0,1,2000,False
53,Brazil,0,6,6,12,2000,False
54,Jamaica,0,6,3,9,2000,False
55,Belgium,0,2,3,5,2000,False
55,South Africa,0,2,3,5,2000,False
57,Argentina,0,2,2,4,2000,False
58,Chinese Taipei,0,1,4,5,2000,False
58,Morocco,0,1,4,5,2000,False
60,North Korea,0,1,3,4,2000,False
61,Moldova,0,1,1,2,2000,False
61,Saudi Arabia,0,1,1,2,2000,False
61,Trinidad and Tobago,0,1,1,2,2000,False
64,Ireland,0,1,0,1,2000,False
64,Sri Lanka,0,1,0,1,2000,False
64,Uruguay,0,1,0,1,2000,False
64,Vietnam,0,1,0,1,2000,False
68,Georgia,0,0,6,6,2000,False
69,Costa Rica,0,0,2,2,2000,False
69,Portugal,0,0,2,2,2000,False
71,Armenia,0,0,1,1,2000,False
71,Barbados,0,0,1,1,2000,False
71,Chile,0,0,1,1,2000,False
71,Iceland,0,0,1,1,2000,False
71,India,0,0,1,1,2000,False
71,Israel,0,0,1,1,2000,False
71,Kuwait,0,0,1,1,2000,False
71,Kyrgyzstan,0,0,1,1,2000,False
71,Macedonia,0,0,1,1,2000,False
71,Qatar,0,0,1,1,2000,False
1,United States,36,39,26,101,2004,False
2,China,32,17,14,63,2004,False
3,Russia,28,26,36,90,2004,False
4,Australia,17,16,17,50,2004,False
5,Japan,16,9,12,37,2004,False
6,Germany,13,16,20,49,2004,False
7,France,11,9,13,33,2004,False
8,Italy,10,11,11,32,2004,False
9,South Korea,9,12,9,30,2004,False
10,Great Britain,9,9,12,30,2004,False
11,Cuba,9,7,11,27,2004,False
12,Hungary,8,6,3,17,2004,False
13,Ukraine,8,5,9,22,2004,False
14,Romania,8,5,6,19,2004,False
15,Greece,6,6,4,16,2004,True
16,Brazil,5,2,3,10,2004,False
17,Norway,5,0,1,6,2004,False
18,Netherlands,4,9,9,22,2004,False
19,Sweden,4,2,1,7,2004,False
20,Spain,3,11,6,20,2004,False
21,Canada,3,6,3,12,2004,False
22,Turkey,3,3,4,10,2004,False
23,Poland,3,2,5,10,2004,False
24,New Zealand,3,2,0,5,2004,False
25,Thailand,3,1,4,8,2004,False
26,Belarus,2,5,6,13,2004,False
27,Austria,2,4,1,7,2004,False
28,Ethiopia,2,3,2,7,2004,False
29,Iran,2,2,2,6,2004,False
29,Slovakia,2,2,2,6,2004,False
31,Chinese Taipei,2,2,1,5,2004,False
32,Georgia,2,2,0,4,2004,False
33,Bulgaria,2,1,9,12,2004,False
34,Denmark,2,1,5,8,2004,False
35,Jamaica,2,1,2,5,2004,False
35,Uzbekistan,2,1,2,5,2004,False
37,Morocco,2,1,0,3,2004,False
38,Argentina,2,0,4,6,2004,False
39,Chile,2,0,1,3,2004,False
40,Kazakhstan,1,4,3,8,2004,False
41,Kenya,1,4,2,7,2004,False
42,Czech Republic,1,3,5,9,2004,False
43,South Africa,1,3,2,6,2004,False
44,Croatia,1,2,2,5,2004,False
45,Lithuania,1,2,0,3,2004,False
46,Egypt,1,1,3,5,2004,False
46,Switzerland,1,1,3,5,2004,False
48,Indonesia,1,1,2,4,2004,False
49,Zimbabwe,1,1,1,3,2004,False
50,Azerbaijan,1,0,4,5,2004,False
51,Belgium,1,0,2,3,2004,False
52,Bahamas,1,0,1,2,2004,False
52,Israel,1,0,1,2,2004,False
54,Cameroon,1,0,0,1,2004,False
54,Dominican Republic,1,0,0,1,2004,False
54,United Arab Emirates,1,0,0,1,2004,False
57,North Korea,0,4,1,5,2004,False
58,Latvia,0,4,0,4,2004,False
59,Mexico,0,3,1,4,2004,False
60,Portugal,0,2,1,3,2004,False
61,Finland,0,2,0,2,2004,False
61,Serbia and Montenegro,0,2,0,2,2004,False
63,Slovenia,0,1,3,4,2004,False
64,Estonia,0,1,2,3,2004,False
65,Hong Kong,0,1,0,1,2004,False
65,India,0,1,0,1,2004,False
65,Paraguay,0,1,0,1,2004,False
68,Colombia,0,0,2,2,2004,False
68,Nigeria,0,0,2,2,2004,False
68,Venezuela,0,0,2,2,2004,False
71,Eritrea,0,0,1,1,2004,False
71,Mongolia,0,0,1,1,2004,False
71,Syria,0,0,1,1,2004,False
71,Trinidad and Tobago,0,0,1,1,2004,False
1,China,48,22,30,100,2008,True
2,United States,36,39,37,112,2008,False
3,Russia,24,13,23,60,2008,False
4,Great Britain,19,13,19,51,2008,False
5,Germany,16,11,14,41,2008,False
6,Australia,14,15,17,46,2008,False
7,South Korea,13,11,8,32,2008,False
8,Japan,9,8,8,25,2008,False
9,Italy,8,9,10,27,2008,False
10,France,7,16,20,43,2008,False
11,Netherlands,7,5,4,16,2008,False
12,Ukraine,7,4,11,22,2008,False
13,Kenya,6,4,6,16,2008,False
14,Spain,5,11,3,19,2008,False
15,Jamaica,5,4,2,11,2008,False
16,Poland,4,5,2,11,2008,False
17,Ethiopia,4,2,1,7,2008,False
18,Romania,4,1,4,9,2008,False
19,Cuba,3,10,17,30,2008,False
20,Canada,3,9,8,20,2008,False
21,Hungary,3,5,2,10,2008,False
22,Norway,3,5,1,9,2008,False
23,Brazil,3,4,10,17,2008,False
24,Belarus,3,4,7,14,2008,False
25,Czech Republic,3,3,1,7,2008,False
26,Slovakia,3,3,0,6,2008,False
27,New Zealand,3,2,4,9,2008,False
28,Georgia,3,2,2,7,2008,False
29,Kazakhstan,2,3,4,9,2008,False
30,Denmark,2,2,3,7,2008,False
31,North Korea,2,2,2,6,2008,False
31,Thailand,2,2,2,6,2008,False
33,Mongolia,2,2,0,4,2008,False
34,Switzerland,2,1,4,7,2008,False
35,Argentina,2,0,4,6,2008,False
36,Mexico,2,0,2,4,2008,False
37,Belgium,2,0,0,2,2008,False
38,Zimbabwe,1,3,0,4,2008,False
39,Slovenia,1,2,2,5,2008,False
40,Azerbaijan,1,1,4,6,2008,False
40,Indonesia,1,1,4,6,2008,False
42,Bulgaria,1,1,3,5,2008,False
42,Turkey,1,1,3,5,2008,False
44,Chinese Taipei,1,1,2,4,2008,False
44,Finland,1,1,2,4,2008,False
46,Latvia,1,1,1,3,2008,False
47,Dominican Republic,1,1,0,2,2008,False
47,Estonia,1,1,0,2,2008,False
47,Portugal,1,1,0,2,2008,False
47,Trinidad and Tobago,1,1,0,2,2008,False
51,India,1,0,2,3,2008,False
52,Iran,1,0,1,2,2008,False
53,Cameroon,1,0,0,1,2008,False
53,Panama,1,0,0,1,2008,False
53,Tunisia,1,0,0,1,2008,False
56,Sweden,0,4,1,5,2008,False
57,Lithuania,0,3,2,5,2008,False
57,Nigeria,0,3,2,5,2008,False
59,Croatia,0,2,3,5,2008,False
60,Colombia,0,2,1,3,2008,False
60,Greece,0,2,1,3,2008,False
62,Armenia,0,1,4,5,2008,False
63,Uzbekistan,0,1,3,4,2008,False
64,Austria,0,1,2,3,2008,False
64,Ireland,0,1,2,3,2008,False
64,Kyrgyzstan,0,1,2,3,2008,False
64,Serbia,0,1,2,3,2008,False
68,Algeria,0,1,1,2,2008,False
68,Bahamas,0,1,1,2,2008,False
68,Morocco,0,1,1,2,2008,False
68,Tajikistan,0,1,1,2,2008,False
72,Chile,0,1,0,1,2008,False
72,Ecuador,0,1,0,1,2008,False
72,Iceland,0,1,0,1,2008,False
72,Malaysia,0,1,0,1,2008,False
72,Samoa,0,1,0,1,2008,False
72,Singapore,0,1,0,1,2008,False
72,South Africa,0,1,0,1,2008,False
72,Sudan,0,1,0,1,2008,False
72,Vietnam,0,1,0,1,2008,False
81,Egypt,0,0,2,2,2008,False
82,Afghanistan,0,0,1,1,2008,False
82,Israel,0,0,1,1,2008,False
82,Mauritius,0,0,1,1,2008,False
82,Moldova,0,0,1,1,2008,False
82,Togo,0,0,1,1,2008,False
82,Venezuela,0,0,1,1,2008,False
1,United States,48,26,30,104,2012,False
2,China,39,31,22,92,2012,False
3,Great Britain,29,18,18,65,2012,True
4,Russia,18,21,26,65,2012,False
5,South Korea,13,9,9,31,2012,False
6,Germany,11,20,13,44,2012,False
7,France,11,11,13,35,2012,False
8,Australia,8,15,12,35,2012,False
9,Italy,8,9,11,28,2012,False
10,Hungary,8,4,6,18,2012,False
11,Japan,7,14,17,38,2012,False
12,Iran,7,5,1,13,2012,False
13,Netherlands,6,6,8,20,2012,False
14,New Zealand,6,2,5,13,2012,False
15,Ukraine,5,4,10,19,2012,False
16,Cuba,5,3,7,15,2012,False
17,Spain,4,10,6,20,2012,False
18,Jamaica,4,5,4,13,2012,False
19,Czech Republic,4,4,3,11,2012,False
20,South Africa,4,1,1,6,2012,False
21,North Korea,4,0,2,6,2012,False
22,Brazil,3,5,9,17,2012,False
23,Kazakhstan,3,2,6,11,2012,False
23,Poland,3,2,6,11,2012,False
25,Ethiopia,3,2,3,8,2012,False
26,Croatia,3,1,2,6,2012,False
27,Canada,2,6,10,18,2012,False
28,Belarus,2,5,3,10,2012,False
29,Kenya,2,4,7,13,2012,False
30,Denmark,2,4,3,9,2012,False
31,Romania,2,4,1,7,2012,False
32,Azerbaijan,2,2,5,9,2012,False
33,Switzerland,2,2,0,4,2012,False
34,Norway,2,1,1,4,2012,False
35,Lithuania,2,0,3,5,2012,False
36,Tunisia,2,0,1,3,2012,False
37,Sweden,1,4,3,8,2012,False
38,Colombia,1,3,5,9,2012,False
39,Mexico,1,3,4,8,2012,False
40,Georgia,1,2,3,6,2012,False
41,Ireland,1,1,4,6,2012,False
42,Argentina,1,1,2,4,2012,False
42,Serbia,1,1,2,4,2012,False
42,Slovenia,1,1,2,4,2012,False
42,Trinidad and Tobago,1,1,2,4,2012,False
46,Turkey,1,1,1,3,2012,False
47,Dominican Republic,1,1,0,2,2012,False
48,Chinese Taipei,1,0,1,2,2012,False
48,Latvia,1,0,1,2,2012,False
50,Algeria,1,0,0,1,2012,False
50,Bahamas,1,0,0,1,2012,False
50,Bahrain,1,0,0,1,2012,False
50,Grenada,1,0,0,1,2012,False
50,Uganda,1,0,0,1,2012,False
50,Venezuela,1,0,0,1,2012,False
56,Egypt,0,3,1,4,2012,False
57,India,0,2,4,6,2012,False
58,Mongolia,0,2,3,5,2012,False
59,Thailand,0,2,2,4,2012,False
60,Bulgaria,0,2,1,3,2012,False
60,Finland,0,2,1,3,2012,False
60,Indonesia,0,2,1,3,2012,False
63,Slovakia,0,1,3,4,2012,False
64,Belgium,0,1,2,3,2012,False
65,Armenia,0,1,1,2,2012,False
65,Estonia,0,1,1,2,2012,False
65,Malaysia,0,1,1,2,2012,False
65,Puerto Rico,0,1,1,2,2012,False
65,Qatar,0,1,1,2,2012,False
70,Botswana,0,1,0,1,2012,False
70,Cyprus,0,1,0,1,2012,False
70,Gabon,0,1,0,1,2012,False
70,Guatemala,0,1,0,1,2012,False
70,Montenegro,0,1,0,1,2012,False
70,Portugal,0,1,0,1,2012,False
76,Uzbekistan,0,0,3,3,2012,False
77,Greece,0,0,2,2,2012,False
77,Singapore,0,0,2,2,2012,False
79,Afghanistan,0,0,1,1,2012,False
79,Cameroon,0,0,1,1,2012,False
79,Hong Kong,0,0,1,1,2012,False
79,Kuwait,0,0,1,1,2012,False
79,Morocco,0,0,1,1,2012,False
79,Saudi Arabia,0,0,1,1,2012,False
79,Tajikistan,0,0,1,1,2012,False
79,Vietnam,0,0,1,1,2012,False
1,United States,46,37,38,121,2016,False
2,Great Britain,27,23,17,67,2016,False
3,China,26,18,26,70,2016,False
4,Russia,19,17,20,56,2016,False
5,Germany,17,10,15,42,2016,False
6,Japan,12,8,21,41,2016,False
7,France,10,18,14,42,2016,False
8,South Korea,9,3,9,21,2016,False
9,Italy,8,12,8,28,2016,False
10,Australia,8,11,10,29,2016,False
11,Netherlands,8,7,4,19,2016,False
12,Hungary,8,3,4,15,2016,False
13,Brazil,7,6,6,19,2016,True
14,Spain,7,4,6,17,2016,False
15,Kenya,6,6,1,13,2016,False
16,Jamaica,6,3,2,11,2016,False
17,Croatia,5,3,2,10,2016,False
18,Cuba,5,2,4,11,2016,False
19,New Zealand,4,9,5,18,2016,False
20,Canada,4,3,15,22,2016,False
21,Uzbekistan,4,2,7,13,2016,False
22,Colombia,3,2,3,8,2016,False
23,Switzerland,3,2,2,7,2016,False
24,Iran,3,1,4,8,2016,False
25,Greece,3,1,2,6,2016,False
26,Argentina,3,1,0,4,2016,False
27,Denmark,2,6,7,15,2016,False
28,Sweden,2,6,3,11,2016,False
29,South Africa,2,6,2,10,2016,False
30,Kazakhstan,2,5,10,17,2016,False
31,Ukraine,2,5,4,11,2016,False
32,Serbia,2,4,2,8,2016,False
33,Poland,2,3,6,11,2016,False
34,North Korea,2,3,2,7,2016,False
35,Belgium,2,2,2,6,2016,False
35,Thailand,2,2,2,6,2016,False
37,Slovakia,2,2,0,4,2016,False
38,Georgia,2,1,4,7,2016,False
39,Azerbaijan,1,7,10,18,2016,False
40,Belarus,1,4,4,9,2016,False
41,Turkey,1,3,4,8,2016,False
42,Armenia,1,3,0,4,2016,False
43,Czech Republic,1,2,7,10,2016,False
44,Ethiopia,1,2,5,8,2016,False
45,Slovenia,1,2,1,4,2016,False
46,Indonesia,1,2,0,3,2016,False
47,Romania,1,1,2,4,2016,False
48,Bahrain,1,1,0,2,2016,False
48,Vietnam,1,1,0,2,2016,False
50,Chinese Taipei,1,0,2,3,2016,False
51,Bahamas,1,0,1,2,2016,False
51,Independent Olympic Athletes,1,0,1,2,2016,False
51,Ivory Coast,1,0,1,2,2016,False
54,Fiji,1,0,0,1,2016,False
54,Jordan,1,0,0,1,2016,False
54,Kosovo,1,0,0,1,2016,False
54,Puerto Rico,1,0,0,1,2016,False
54,Singapore,1,0,0,1,2016,False
54,Tajikistan,1,0,0,1,2016,False
60,Malaysia,0,4,1,5,2016,False
61,Mexico,0,3,2,5,2016,False
62,Venezuela,0,2,1,3,2016,False
63,Algeria,0,2,0,2,2016,False
63,Ireland,0,2,0,2,2016,False
65,Lithuania,0,1,3,4,2016,False
66,Bulgaria,0,1,2,3,2016,False
67,India,0,1,1,2,2016,False
67,Mongolia,0,1,1,2,2016,False
69,Burundi,0,1,0,1,2016,False
69,Grenada,0,1,0,1,2016,False
69,Niger,0,1,0,1,2016,False
69,Philippines,0,1,0,1,2016,False
69,Qatar,0,1,0,1,2016,False
74,Norway,0,0,4,4,2016,False
75,Egypt,0,0,3,3,2016,False
75,Tunisia,0,0,3,3,2016,False
77,Israel,0,0,2,2,2016,False
78,Austria,0,0,1,1,2016,False
78,Dominican Republic,0,0,1,1,2016,False
78,Estonia,0,0,1,1,2016,False
78,Finland,0,0,1,1,2016,False
78,Morocco,0,0,1,1,2016,False
78,Nigeria,0,0,1,1,2016,False
78,Portugal,0,0,1,1,2016,False
78,Trinidad and Tobago,0,0,1,1,2016,False
78,United Arab Emirates,0,0,1,1,2016,False
1,United States,39,41,33,113,2020,False
2,China,38,32,19,89,2020,False
3,Japan,27,14,17,58,2020,True
4,Great Britain,22,20,22,64,2020,False
5,ROC,20,28,23,71,2020,False
6,Australia,17,7,22,46,2020,False
7,Netherlands,10,12,14,36,2020,False
8,France,10,12,11,33,2020,False
9,Germany,10,11,16,37,2020,False
10,Italy,10,10,20,40,2020,False
11,Canada,7,7,10,24,2020,False
12,Brazil,7,6,8,21,2020,False
13,New Zealand,7,6,7,20,2020,False
14,Cuba,7,3,5,15,2020,False
15,Hungary,6,7,7,20,2020,False
16,South Korea,6,4,10,20,2020,False
17,Poland,4,5,5,14,2020,False
18,Czech Republic,4,4,3,11,2020,False
19,Kenya,4,4,2,10,2020,False
20,Norway,4,2,2,8,2020,False
21,Jamaica,4,1,4,9,2020,False
22,Spain,3,8,6,17,2020,False
23,Sweden,3,6,0,9,2020,False
24,Switzerland,3,4,6,13,2020,False
25,Denmark,3,4,4,11,2020,False
26,Croatia,3,3,2,8,2020,False
27,Iran,3,2,2,7,2020,False
28,Serbia,3,1,5,9,2020,False
29,Belgium,3,1,3,7,2020,False
30,Bulgaria,3,1,2,6,2020,False
31,Slovenia,3,1,1,5,2020,False
32,Uzbekistan,3,0,2,5,2020,False
33,Georgia,2,5,1,8,2020,False
34,Chinese Taipei,2,4,6,12,2020,False
35,Turkey,2,2,9,13,2020,False
36,Greece,2,1,1,4,2020,False
36,Uganda,2,1,1,4,2020,False
38,Ecuador,2,1,0,3,2020,False
39,Ireland,2,0,2,4,2020,False
39,Israel,2,0,2,4,2020,False
41,Qatar,2,0,1,3,2020,False
42,Bahamas,2,0,0,2,2020,False
42,Kosovo,2,0,0,2,2020,False
44,Ukraine,1,6,12,19,2020,False
45,Belarus,1,3,3,7,2020,False
46,Romania,1,3,0,4,2020,False
46,Venezuela,1,3,0,4,2020,False
48,India,1,2,4,7,2020,False
49,Hong Kong,1,2,3,6,2020,False
50,Philippines,1,2,1,4,2020,False
50,Slovakia,1,2,1,4,2020,False
52,South Africa,1,2,0,3,2020,False
53,Austria,1,1,5,7,2020,False
54,Egypt,1,1,4,6,2020,False
55,Indonesia,1,1,3,5,2020,False
56,Ethiopia,1,1,2,4,2020,False
56,Portugal,1,1,2,4,2020,False
58,Tunisia,1,1,0,2,2020,False
59,Estonia,1,0,1,2,2020,False
59,Fiji,1,0,1,2,2020,False
59,Latvia,1,0,1,2,2020,False
59,Thailand,1,0,1,2,2020,False
63,Bermuda,1,0,0,1,2020,False
63,Morocco,1,0,0,1,2020,False
63,Puerto Rico,1,0,0,1,2020,False
66,Colombia,0,4,1,5,2020,False
67,Azerbaijan,0,3,4,7,2020,False
68,Dominican Republic,0,3,2,5,2020,False
69,Armenia,0,2,2,4,2020,False
70,Kyrgyzstan,0,2,1,3,2020,False
71,Mongolia,0,1,3,4,2020,False
72,Argentina,0,1,2,3,2020,False
72,San Marino,0,1,2,3,2020,False
74,Jordan,0,1,1,2,2020,False
74,Malaysia,0,1,1,2,2020,False
74,Nigeria,0,1,1,2,2020,False
77,Bahrain,0,1,0,1,2020,False
77,Lithuania,0,1,0,1,2020,False
77,Namibia,0,1,0,1,2020,False
77,North Macedonia,0,1,0,1,2020,False
77,Saudi Arabia,0,1,0,1,2020,False
77,Turkmenistan,0,1,0,1,2020,False
83,Kazakhstan,0,0,8,8,2020,False
84,Mexico,0,0,4,4,2020,False
85,Finland,0,0,2,2,2020,False
86,Botswana,0,0,1,1,2020,False
86,Burkina Faso,0,0,1,1,2020,False
86,Ghana,0,0,1,1,2020,False
86,Grenada,0,0,1,1,2020,False
86,Ivory Coast,0,0,1,1,2020,False
86,Kuwait,0,0,1,1,2020,False
86,Moldova,0,0,1,1,2020,False
86,Syria,0,0,1,1,2020,False
1,United States,40,44,42,126,2024,False
2,China,40,27,24,91,2024,False
3,Japan,20,12,13,45,2024,False
4,Australia,18,19,16,53,2024,False
5,France,16,26,22,64,2024,True
6,Netherlands,15,7,12,34,2024,False
7,Great Britain,14,22,29,65,2024,False
8,South Korea,13,9,10,32,2024,False
9,Italy,12,13,15,40,2024,False
10,Germany,12,13,8,33,2024,False
11,New Zealand,10,7,3,20,2024,False
12,Canada,9,7,11,27,2024,False
13,Uzbekistan,8,2,3,13,2024,False
14,Hungary,6,7,6,19,2024,False
15,Spain,5,4,9,18,2024,False
16,Sweden,4,4,3,11,2024,False
17,Kenya,4,2,5,11,2024,False
18,Norway,4,1,3,8,2024,False
19,Ireland,4,0,3,7,2024,False
20,Brazil,3,7,10,20,2024,False
21,Iran,3,6,3,12,2024,False
22,Ukraine,3,5,4,12,2024,False
23,Romania,3,4,2,9,2024,False
24,Georgia,3,3,1,7,2024,False
25,Belgium,3,1,6,10,2024,False
26,Bulgaria,3,1,3,7,2024,False
27,Serbia,3,1,1,5,2024,False
28,Czech Republic,3,0,2,5,2024,False
29,Denmark,2,2,5,9,2024,False
30,Azerbaijan,2,2,3,7,2024,False
30,Croatia,2,2,3,7,2024,False
32,Cuba,2,1,6,9,2024,False
33,Bahrain,2,1,1,4,2024,False
